[F2](==,||);BATT
02:46:30;3215;7772,53
02:46:50;3213;7767,69
02:47:10;3214;7770,11
02:47:30;3217;7777,36
02:47:50;3213;7767,69
02:48:10;3214;7770,11
02:48:30;3214;7770,11
02:48:50;3214;7770,11
02:49:10;3215;7772,53
02:49:30;3215;7772,53
02:49:50;3215;7772,53
02:50:10;3215;7772,53
02:50:30;3213;7767,69
02:50:50;3212;7765,27
02:51:10;3214;7770,11
02:51:30;3213;7767,69
02:51:50;3213;7767,69
02:52:10;3214;7770,11
02:52:30;3212;7765,27
02:52:50;3215;7772,53
02:53:10;3213;7767,69
02:53:30;3214;7770,11
02:53:50;3213;7767,69
02:54:10;3213;7767,69
02:54:30;3213;7767,69
02:54:50;3214;7770,11
02:55:10;3212;7765,27
02:55:30;3210;7760,44
02:55:50;3210;7760,44
02:56:10;3211;7762,86
02:56:30;3212;7765,27
02:56:50;3211;7762,86
02:57:10;3212;7765,27
02:57:30;3211;7762,86
02:57:50;3212;7765,27
02:58:10;3210;7760,44
02:58:30;3212;7765,27
02:58:50;3211;7762,86
02:59:10;3210;7760,44
02:59:30;3209;7758,02
02:59:50;3210;7760,44
03:00:10;3209;7758,02
03:00:30;3209;7758,02
03:00:50;3208;7755,60
03:01:10;3210;7760,44
03:01:30;3209;7758,02
03:01:50;3208;7755,60
03:02:10;3209;7758,02
03:02:30;3211;7762,86
03:02:52;3210;7760,44
03:03:12;3209;7758,02
03:03:32;3207;7753,19
03:03:52;3209;7758,02
03:04:12;3209;7758,02
03:04:32;3207;7753,19
03:04:52;3210;7760,44
03:05:12;3209;7758,02
03:05:32;3207;7753,19
03:05:52;3207;7753,19
03:06:12;3207;7753,19
03:06:32;3207;7753,19
03:06:52;3209;7758,02
03:07:12;3208;7755,60
03:07:32;3208;7755,60
03:07:52;3209;7758,02
03:08:12;3207;7753,19
03:08:32;3208;7755,60
03:08:52;3207;7753,19
03:09:12;3208;7755,60
03:09:32;3208;7755,60
03:09:52;3206;7750,77
03:10:12;3206;7750,77
03:10:32;3205;7748,35
03:10:52;3206;7750,77
03:11:12;3206;7750,77
03:11:32;3207;7753,19
03:11:52;3206;7750,77
03:12:12;3203;7743,52
03:12:32;3206;7750,77
03:12:52;3207;7753,19
03:13:12;3204;7745,93
03:13:32;3206;7750,77
03:13:52;3205;7748,35
03:14:12;3202;7741,10
03:14:32;3202;7741,10
03:14:52;3203;7743,52
03:15:12;3203;7743,52
03:15:32;3203;7743,52
03:15:52;3207;7753,19
03:16:12;3204;7745,93
03:16:32;3205;7748,35
03:16:52;3203;7743,52
03:17:12;3200;7736,26
03:17:32;3202;7741,10
03:17:53;3199;7733,85
03:18:14;3201;7738,68
03:18:34;3200;7736,26
03:18:54;3200;7736,26
03:19:14;3198;7731,43
03:19:34;3202;7741,10
03:19:54;3203;7743,52
03:20:14;3199;7733,85
03:20:34;3204;7745,93
03:20:54;3200;7736,26
03:21:14;3199;7733,85
03:21:34;3199;7733,85
03:21:54;3197;7729,01
03:22:14;3199;7733,85
03:22:34;3199;7733,85
03:22:54;3198;7731,43
03:23:14;3197;7729,01
03:23:34;3196;7726,59
03:23:54;3198;7731,43
03:24:14;3195;7724,18
03:24:34;3200;7736,26
03:24:54;3197;7729,01
03:25:14;3196;7726,59
03:25:34;3197;7729,01
03:25:54;3196;7726,59
03:26:14;3197;7729,01
03:26:34;3195;7724,18
03:26:54;3196;7726,59
03:27:14;3195;7724,18
03:27:34;3199;7733,85
03:27:54;3197;7729,01
03:28:14;3200;7736,26
03:28:34;3197;7729,01
03:28:54;3197;7729,01
03:29:14;3193;7719,34
03:29:34;3196;7726,59
03:29:54;3197;7729,01
03:30:14;3196;7726,59
03:30:34;3196;7726,59
03:30:54;3195;7724,18
03:31:14;3194;7721,76
03:31:34;3194;7721,76
03:31:54;3193;7719,34
03:32:14;3194;7721,76
03:32:34;3196;7726,59
03:32:54;3194;7721,76
03:33:14;3195;7724,18
03:33:34;3195;7724,18
03:33:54;3193;7719,34
03:34:14;3194;7721,76
03:34:34;3194;7721,76
03:34:54;3193;7719,34
03:35:14;3193;7719,34
03:35:34;3195;7724,18
03:35:54;3195;7724,18
03:36:14;3193;7719,34
03:36:34;3193;7719,34
03:36:54;3193;7719,34
03:37:14;3192;7716,92
03:37:34;3193;7719,34
03:37:54;3194;7721,76
03:38:14;3190;7712,09
03:38:34;3193;7719,34
03:38:54;3192;7716,92
03:39:14;3193;7719,34
03:39:34;3190;7712,09
03:39:54;3192;7716,92
03:40:14;3192;7716,92
03:40:34;3192;7716,92
03:40:54;3189;7709,67
03:41:14;3191;7714,51
03:41:34;3191;7714,51
03:41:54;3191;7714,51
03:42:14;3189;7709,67
03:42:34;3189;7709,67
03:42:54;3191;7714,51
03:43:14;3191;7714,51
03:43:34;3189;7709,67
03:43:54;3191;7714,51
03:44:14;3190;7712,09
03:44:34;3190;7712,09
03:44:54;3189;7709,67
03:45:14;3192;7716,92
03:45:34;3191;7714,51
03:45:54;3188;7707,25
03:46:14;3190;7712,09
03:46:34;3190;7712,09
03:46:54;3190;7712,09
03:47:14;3189;7709,67
03:47:34;3189;7709,67
